County,City,PostalCode,ModelYear,Make,Model,ElectricVehicleType,ElectricRange,MSRP,CAFVEligibility,Latitude,Longitude,CensusTract,ElectricUtility
Spokane,Spokane,98987,2014,Tesla,Bolt,BEV,113,79401,Eligible,48.05015304877472,-120.72836063280218,589562,Puget Sound Energy
Clark,Spokane,99478,2022,Nissan,Mustang Mach-E,BEV,281,75468,Eligible,46.741960032007306,-120.00678989910125,900757,Puget Sound Energy
Snohomish,Spokane,99183,2019,Chevrolet,Mustang Mach-E,BEV,338,75348,Not Eligible,47.644395206361125,-123.35372187171353,266964,Tacoma Power
Clark,Spokane,99546,2023,BMW,Bolt,BEV,262,57463,Eligible,47.54881397976835,-120.61326546635986,494969,Seattle City Light
Clark,Vancouver,98649,2021,Chevrolet,i3,BEV,307,56663,Not Eligible,47.416656352288115,-118.4211845804312,773356,Tacoma Power
Pierce,Vancouver,98968,2019,Chevrolet,Bolt,BEV,67,73151,Eligible,47.741691525997744,-119.07970063356724,955243,Tacoma Power
Snohomish,Tacoma,98589,2019,BMW,i3,BEV,224,28170,Not Eligible,46.408072098738266,-119.37147957238442,829643,Tacoma Power
Snohomish,Seattle,99100,2023,BMW,Leaf,BEV,278,58123,Eligible,45.7962706375462,-117.58788971515818,216737,Puget Sound Energy
Snohomish,Spokane,98508,2023,Ford,Bolt,BEV,275,53810,Not Eligible,45.917450852139105,-123.382791936136,556036,Seattle City Light
Clark,Tacoma,98440,2020,Ford,i3,BEV,133,34718,Not Eligible,46.28603833928865,-119.87919068975047,362968,Seattle City Light
Spokane,Seattle,99277,2015,Chevrolet,Bolt,BEV,340,25028,Eligible,47.25069277432975,-118.3822324853369,507096,Tacoma Power
Snohomish,Everett,98920,2016,Chevrolet,Bolt,BEV,295,72599,Eligible,48.44154962691107,-119.98132001244176,864705,Puget Sound Energy
Clark,Vancouver,98769,2016,Tesla,i3,PHEV,159,42397,Eligible,47.95452669730935,-121.39467890822753,742006,Seattle City Light
Pierce,Seattle,99343,2019,Tesla,i3,BEV,303,68662,Not Eligible,48.261642114707165,-122.61437132690214,428761,Avista
Spokane,Everett,99826,2018,Ford,Model 3,PHEV,137,66787,Not Eligible,46.72841468374132,-117.73084003319475,373661,Seattle City Light
Pierce,Seattle,98262,2020,Hyundai,Bolt,BEV,121,70406,Eligible,46.91628809576993,-120.44004444948058,777043,Tacoma Power
Spokane,Vancouver,99620,2019,Hyundai,Mustang Mach-E,BEV,79,72657,Not Eligible,46.877886600967145,-117.79225121959294,510092,Avista
Clark,Vancouver,99681,2013,Ford,Bolt,BEV,221,27024,Eligible,46.17155614541576,-119.69196120418441,465212,Puget Sound Energy
King,Tacoma,99858,2021,Tesla,Bolt,BEV,226,63607,Not Eligible,45.714258303502504,-119.1177512420025,567018,Avista
Spokane,Spokane,99577,2023,Tesla,i3,BEV,188,38503,Not Eligible,47.56820632489529,-118.27230249654008,832079,Avista
Pierce,Seattle,99397,2015,Hyundai,Bolt,BEV,243,79943,Eligible,48.96225839197205,-119.21548896009912,873408,Tacoma Power
Clark,Seattle,98636,2017,Nissan,Kona Electric,BEV,235,35303,Eligible,46.08390396732592,-120.91264353558691,878610,Seattle City Light
Spokane,Everett,99190,2023,Nissan,Bolt,PHEV,267,42138,Eligible,45.66339686964746,-120.16138300446377,579818,Puget Sound Energy
King,Vancouver,99960,2013,Tesla,Kona Electric,BEV,213,50345,Eligible,48.22836088638377,-118.28020408960678,309485,Avista
King,Seattle,99776,2018,Nissan,Mustang Mach-E,BEV,210,77887,Eligible,46.38405102339654,-121.0712730735756,372126,Tacoma Power
Snohomish,Vancouver,98458,2014,BMW,i3,PHEV,62,75390,Eligible,48.40375331873525,-120.97721053100477,519814,Seattle City Light
Snohomish,Seattle,98998,2014,Ford,Bolt,BEV,345,54505,Eligible,47.963778334620805,-122.87801424562299,245711,Avista
Pierce,Tacoma,99303,2022,Ford,Kona Electric,BEV,138,26906,Eligible,48.809857379677815,-117.55520117105864,694498,Tacoma Power
Spokane,Spokane,98699,2013,Tesla,Kona Electric,BEV,91,65167,Eligible,46.93124532514835,-122.90826395285463,694140,Tacoma Power
Spokane,Seattle,98301,2022,Chevrolet,Kona Electric,PHEV,259,32961,Eligible,47.81689443807722,-119.28664034658439,879427,Tacoma Power
